age,nLx_m,nLx_f,nFx,nNx_m,nNx_f,nIx_f
0,496754,497487,0,310189,293395,6840
5,496297,497138,0,261963,248369,4150
10,495989,496901,0,252046,240012,3365
15,495113,496531,0.012,274711,261346,5270
20,493460,495902,0.0908,296679,285209,9240
25,491475,495168,0.1499,333726,314388,8230
30,489325,494213,0.1125,296774,281290,5470
35,486487,492760,0.0441,299391,286923,3155
40,482392,490447,0.0074,314295,304108,1770
45,476532,486613,0.0003,338709,324946,1115
50,467568,480665,0,256066,247613,1075
55,452941,471786,0,208841,211351,845
60,428556,457852,0,199996,215140,645
65,390707,436153,0,197282,221764,530
70,336027,402775,0,184234,223506,465
75,261507,350358,0,133856,183654,300
80,172333,271512,0,86732,141990,250
85,128631,291707,0,49095,112424,175